id,ip,status,cam1,cam2,cam3,cam4,hdd,latency,cdate,login_status,last_communication,atmid,capacity,freespace,recording_from,recording_to,dvrtype
105,10.236.212.1,1,working,working,working,NULL,ok,220ms,30-07-2019 16:18,0,30-07-2019 16:18,P1DCDL48,1907729,0,2019-05-09T03:29:45Z,,Hikvision
106,10.236.212.4,1,working,working,working,NULL,ok,974ms,30-07-2019 16:18,0,30-07-2019 16:18,P1DCDL46,1907729,0,2019-06-17T10:13:47Z,,Hikvision
107,10.236.40.108,1,working,working,working,NULL,ok,539ms,30-07-2019 16:19,0,30-07-2019 16:19,P1DCHY12,1907729,0,2019-07-16T20:07:04Z,,Hikvision
108,10.236.212.31,1,working,working,working,NULL,ok,599ms,30-07-2019 16:19,0,30-07-2019 16:19,P1DCPT09,1907729,1743872,2019-07-25T14:33:10Z,,Hikvision
112,10.236.40.199,1,working,working,working,NULL,ok,397ms,30-07-2019 16:19,0,30-07-2019 16:19,P1DCDL59,1907729,0,2019-07-04T18:59:45Z,,Hikvision
113,10.236.40.197,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:20,0,0000-00-00 00:00:00,P1DCDL11,,,,,Hikvision
114,10.236.40.97,1,working,working,working,NULL,ok,270ms,30-07-2019 16:20,0,30-07-2019 16:20,P1DCHY40,1907729,0,2019-05-09T00:51:32Z,,Hikvision
115,10.236.40.93,1,working,working,working,NULL,ok,583ms,30-07-2019 16:20,0,30-07-2019 16:20,P1DCHY59,1907729,0,2019-07-01T13:11:34Z,,Hikvision
116,10.236.40.95,1,working,working,working,NULL,ok,445ms,30-07-2019 16:20,0,30-07-2019 16:20,P1DCHY66,1907729,0,2019-06-11T01:27:21Z,,Hikvision
117,10.236.212.19,1,working,working,working,NULL,ok,435ms,30-07-2019 16:21,0,30-07-2019 16:21,P1DCAV04,1907729,0,2019-07-12T04:29:19Z,,Hikvision
119,10.60.240.75,1,working,working,working,NULL,ok,601ms,30-07-2019 16:21,0,30-07-2019 16:21,P1DCAV03,1907729,0,2019-07-14T17:24:58Z,,Hikvision
120,10.60.240.18,1,working,working,working,NULL,ok,398ms,30-07-2019 13:48,0,30-07-2019 13:48,P1DCAV05,1907729,0,2019-05-03T10:00:17Z,,Hikvision
121,10.60.240.17,1,working,working,working,NULL,,215ms,30-07-2019 13:49,0,30-07-2019 13:49,P1DCAV02,,,,,Hikvision
122,10.236.212.57,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 13:49,0,0000-00-00 00:00:00,P1DCDL26,,,,,Hikvision
123,10.236.40.198,1,working,working,working,NULL,ok,452ms,30-07-2019 13:49,0,30-07-2019 13:49,P1DCDL44,1907729,467968,2019-04-25T13:49:04Z,,Hikvision
