"id","ip","status","cam1","cam2","cam3","cam4","hdd","latency","cdate","login_status","last_communication","atmid","capacity","freespace","recording_from","recording_to","dvrtype","live"
"213","10.236.212.101",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENCP01",,,,,"CPPLUS","Y"
"214","10.236.212.96","1","working","working","working",NULL,"notexist","867ms","2019-08-01 15:54:43","0","2019-08-01 15:54:43","P3ECUP04","0","0",,,"Hikvision","Y"
"215","10.60.240.203",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENGG09",,,,,"CPPLUS","Y"
"216","10.60.241.241","1",NULL,NULL,NULL,NULL,NULL,"1080ms","2019-08-01 15:54:59","1","0000-00-00 00:00:00","P1ENDL21",,,,,"Hikvision","Y"
"217","10.60.240.196",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENGK02",,,,,"CPPLUS","Y"
"218","10.60.241.104",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENDL23",,,,,"CPPLUS","Y"
"219","10.60.242.12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ECUP06",,,,,"CPPLUS","Y"
"220","10.236.212.217",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P4ENKU10",,,,,"CPPLUS","Y"
"221","10.236.212.94",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENRN06",,,,,"CPPLUS","Y"
"222","10.236.212.206","0","working","working","working",NULL,"ok",,"2019-08-01 15:33:37","1","2019-08-01 14:05:04","P3ECDE21","1907729","0","2019-06-04T08:36:40Z",,"Hikvision","Y"
"223","10.60.241.97",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENGG07",,,,,"CPPLUS","Y"
"224","10.236.212.245",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENDE18",,,,,"CPPLUS","N"
"225","10.60.240.176",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1EWFA01",,,,,"CPPLUS","Y"
"226","10.236.212.198",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENPG01",,,,,"CPPLUS","Y"
